"country","code","year","life_exp","hc_exp","gni_percap","tb_per100K"
"Afghanistan","AFG","2000",55.13,NA,NA,190
"Afghanistan","AFG","2001",55.49,NA,NA,189
"Afghanistan","AFG","2002",55.86,15.48,890,189
"Afghanistan","AFG","2003",56.24,19.33,940,189
"Afghanistan","AFG","2004",56.63,20.89,940,189
"Afghanistan","AFG","2005",57.03,21.9,1040,189
"Afghanistan","AFG","2006",57.43,22.18,1100,189
"Afghanistan","AFG","2007",57.83,26.99,1250,189
"Afghanistan","AFG","2008",58.23,33.81,1290,189
"Afghanistan","AFG","2009",58.6,43.53,1530,189
"Afghanistan","AFG","2010",58.97,52.89,1640,189
"Afghanistan","AFG","2011",59.33,52.38,1730,189
"Afghanistan","AFG","2012",59.68,58.17,1960,189
"Afghanistan","AFG","2013",60.03,53.37,1970,189
"Afghanistan","AFG","2014",60.37,56.57,1960,189
"Albania","ALB","2000",74.27,74.03,4140,23
"Albania","ALB","2001",74.73,78.67,4600,21
"Albania","ALB","2002",75.15,89.92,4870,23
"Albania","ALB","2003",75.52,112.63,5250,21
"Albania","ALB","2004",75.83,153.26,5660,21
"Albania","ALB","2005",76.08,166.23,6060,20
"Albania","ALB","2006",76.29,175.46,6830,18
"Albania","ALB","2007",76.47,216.94,7490,17
"Albania","ALB","2008",76.65,254.74,8270,17
"Albania","ALB","2009",76.84,238.07,8680,17
"Albania","ALB","2010",77.04,219.27,9550,17
"Albania","ALB","2011",77.24,255.26,10180,17
"Albania","ALB","2012",77.44,239.51,10450,16
"Albania","ALB","2013",77.64,253.34,10600,18
"Albania","ALB","2014",77.83,272.2,11170,19
"Algeria","DZA","2000",70.18,61.3,7690,74
"Algeria","DZA","2001",70.6,66.51,8170,72
"Algeria","DZA","2002",71.01,66.18,8570,74
"Algeria","DZA","2003",71.42,75.44,9270,76
"Algeria","DZA","2004",71.82,92.15,9760,76
"Algeria","DZA","2005",72.2,100.36,10490,80
"Algeria","DZA","2006",72.56,116.34,10910,78
"Algeria","DZA","2007",72.9,150.55,11700,78
"Algeria","DZA","2008",73.22,206.41,12090,74
"Algeria","DZA","2009",73.52,207.72,12160,77
"Algeria","DZA","2010",73.8,228.92,12620,77
"Algeria","DZA","2011",74.07,286.97,12900,73
"Algeria","DZA","2012",74.32,335.27,13300,73
"Algeria","DZA","2013",74.57,345.65,13520,68
"Algeria","DZA","2014",74.81,361.73,13960,72
"American Samoa","ASM","2000",NA,NA,NA,6
"American Samoa","ASM","2001",NA,NA,NA,5.9
"American Samoa","ASM","2002",NA,NA,NA,3.9
"American Samoa","ASM","2003",NA,NA,NA,5.8
